OpportunityId;CompanyName;Quarter;TeoricalValue;VariationPerc;RealValue;QualificationLevel;TTC;Winner;Status
Pg0LpfZoYEfEGp33nl3QH0Dp;Tag Aero;2019 Q2;96;-50;48;1;5;null;OPEN
8K2GjCGdQAYM3PnYDar8tBWd;Prop & Peller Pretzels;2019 Q2;109;-49;56;1;67;null;OPEN
kMxS4XL2K1dEC3YJwFYpkhVj;Astir IT Solutions;2019 Q2;800;15;920;4;18;null;OPEN
T5fewU1R2q57NdJMBO7eEaA6;DistributorCentral;2019 Q2;242;11;269;3;92;null;OPEN
ViJgo0Dx9uwRtOr0up7n15N8;Favor TechConsulting;2019 Q2;47;-35;31;2;106;null;OPEN
kyuLDWJ77vYA7OuOd2wRsGZz;TeamLogic IT;2019 Q2;243;5;255;3;126;null;OPEN
2g8Te0uIwGnfz5RO2p5VWcli;centralcloseout.com;2019 Q2;259;13;293;3;57;null;OPEN
EAGR8XbzwNIKTBSAiR2Q6UkM;Build Group;2019 Q2;161;-50;81;1;86;null;OPEN
e0FLa2n9WGa8NOckOc9UszQS;Shoemagoo;2019 Q2;128;-50;64;1;7;null;OPEN
6LEYqIq3Lqg7Sa7QtUxA8qtM;Renaissance Electronic Services;2019 Q2;347;14;396;2;12;null;OPEN
lGqTn1fDMkiazyC8CXcYVgW3;Baker Electric Solar;2019 Q2;630;-9;573;2;41;null;OPEN
gfmZo9tly6OMGc4SwOmiJNkn;DA Defense Logistics HQ;2019 Q2;69;15;79;4;47;null;OPEN
HkB6LrCnp8BJeJWvW4gTbTaD;Heavy Hammer New Media Solutions;2019 Q2;26;15;30;4;95;null;OPEN
4XcwWetqkICU6BhfnFTZdlJn;Freedom Boat Club;2019 Q2;80;3;82;2;75;null;OPEN
tRYWyFTcoMB0OHVuUpTtXLoV;Exact Data;2019 Q2;370;0;370;2;7;null;OPEN
3Nd9WKsFh6Bx1zgwb2Cj22jQ;CDYNE;2019 Q2;218;-50;109;1;130;null;OPEN
5TdbckeW830sndxGMC0gkxWZ;National Brokers of America;2019 Q2;385;-8;354;3;25;null;OPEN
UAlXdsM430T9DnyL1Mw9zTJb;Denken Solutions;2019 Q2;527;15;606;3;51;null;OPEN
R7Fj9FJOF9ApUBDE2YVh4w6R;DataLab USA;2019 Q2;225;14;257;4;68;null;OPEN
VoWwS7guTxr7cBGM8QE524qZ;Greystone Technology;2019 Q2;41;-47;22;2;20;null;OPEN
yOYXFZPCFilDni11gbBEbovj;Masergy Communications;2019 Q2;1128;-50;564;1;7;null;OPEN
bXcpXfavrqns3YrML2eaIrZZ;QA Cafe;2019 Q2;1165;0;NaN;5;55;null;OPEN
Ss52FLhbF0RAuzxRtMhnTCSc;Edgewater Automation;2019 Q2;632;5;664;3;109;null;OPEN
qBUfNW2bsV092QbMA1McCW5u;The Kenjya-Trusant Group;2019 Q2;158;-48;82;1;67;null;OPEN
asrHnNuMSxKnEVkjsxVDzAzM;Onset Financial;2019 Q2;184;-50;92;1;115;null;OPEN
xiYvpLHx4yvXP7OPLPWHsU00;Rescue | The Behavior Change Agency;2019 Q2;303;11;336;3;75;null;OPEN
NH1MSg7MDG7Tz12u2zsPENyz;Go Local Interactive;2019 Q2;906;-6;852;3;95;null;OPEN
hn0pug2IHV5Km1qkLVB8EWCe;Strong Smiles Dental Care;2019 Q2;603;4;627;2;117;null;OPEN
3ILRTRhzREHMjisZIK31RRs7;Clearas Water Recovery;2019 Q2;141;2;144;2;97;null;OPEN
No726hDs8bpyxa7plVYcMprn;Bennett Aerospace;2019 Q2;26;-50;13;1;28;null;OPEN
YRNmVazS4QIOlOolu1OdvSDr;Atlas Executive Consulting;2019 Q2;83;-46;45;1;107;null;OPEN
nSyJtzMQ9FAItIGVxNXgqaNk;Startech.Com;2019 Q2;945;4;983;2;132;null;OPEN
xbFPjZn79oTiU0ZfZy875stE;Bear Down Consulting;2019 Q2;163;15;187;4;21;null;OPEN
E8K1YhfJGHxIEIcCivnRtmNz;Proforma Nitro;2019 Q2;162;-43;92;2;62;null;OPEN
0eeZTytIZWbmKguwJ44jq5Mg;Continuity;2019 Q2;102;-39;62;2;115;null;OPEN
qMuL1LqFLqTztaT0LSx4nQpS;Integrity Services;2019 Q2;77;-31;53;2;79;null;OPEN
4WBQq3y3nwug867bDU05lb9b;NEOSTEK;2019 Q2;1076;-45;592;1;89;null;OPEN
Nixx0IjbiW6lRh0aXmPtMSzE;TSI Healthcare;2019 Q2;80;-26;59;2;112;null;OPEN
98IGg1wU2izYyaQDhaKVwdjd;Community Impact Newspaper;2019 Q2;87;14;99;3;42;null;OPEN
U6VoLsilLogLPP3Q7S3N0bPL;Zoom Technical Services;2019 Q2;1322;11;1467;3;79;null;OPEN
w8FnLTcBdOEfJvKv1YlyBD9P;The Loken Group;2019 Q2;607;-46;328;1;53;null;OPEN
goRFUH6NLU64cPFB0LMBorXY;ICONSOFT;2019 Q2;525;6;557;3;130;null;OPEN
KiNoqMgUwW3douTjqHR405z1;Worksighted;2019 Q2;624;-45;343;1;46;null;OPEN
cwekLeptrehcab4Z1NUBUUpE;Seer Interactive;2019 Q2;402;9;438;3;106;null;OPEN
wcQKz7OMpeVQUe6yG25NxHd6;Influenster;2019 Q2;1133;-10;1020;2;131;null;OPEN
wiW4Sit8qRA0v6cXL3qHnIQQ;Picore International;2019 Q2;380;14;433;4;115;null;OPEN
u9UEFVlH1op3sJExt2NUozgH;TradeMark Media;2019 Q2;780;-47;413;1;117;null;OPEN
kDFyf5jr2FegpZjic7jIgaor;280 Group;2019 Q2;195;-2;191;2;5;null;OPEN
jPkcwrej3rjnszHtsN06FcDJ;Mac Warehouse;2019 Q2;918;8;991;3;64;null;OPEN
gdwb4JTrIGX6BWbTtjVwFQcB;Tal Search Group;2019 Q2;1138;12;1275;2;100;null;OPEN
eEpNCF5mPBuN19C10c7hidGF;AmeriChem Systems;2019 Q2;397;15;457;3;113;null;OPEN
KtYa2oVM9VJ5QfBo62yrvYb0;ej4;2019 Q2;79;15;91;4;18;null;OPEN
QhbKV04tEgJm0yNBwmv2VlrD;Clarity Insights;2019 Q2;784;-42;455;1;59;null;OPEN
yY1lYlLprMiIkKLxHP50w0gB;Stream Companies;2019 Q2;90;13;102;1;101;null;OPEN
SBPKudl8rDDZyD5vNdsjzrm0;LingPerfect Translations;2019 Q2;1202;-32;817;2;90;null;OPEN
zyxetIII3nwdx9JgoC3icW15;Circlepix;2019 Q2;56;-44;31;1;23;null;OPEN
YfSn1slKuPYT3KElwz8EotDQ;Bowstern;2019 Q2;45;14;51;4;42;null;OPEN
rcRP6Q5U2qcA2crIPOKnYscT;KFW Engineers & Surveying;2019 Q2;432;-50;216;1;48;null;OPEN
sDw0ShC1JXGpxv9XUu4iAEHr;Escalon Services;2019 Q2;151;1;153;2;120;null;OPEN
A9qpAEbICLmVhQMCUINnAbWk;LVC Companies;2019 Q2;479;9;522;3;69;null;OPEN
aoYEf0jl5sSAix2s5URhTDv8;Eligo Energy;2019 Q2;639;-18;524;2;78;null;OPEN
yAfRxLKM4xaVgs7NXB30lv6V;Street Smart Transmission;2019 Q2;298;-28;215;2;95;null;OPEN
7xPMDHrW1jm6Ci8BODoN0CfN;Full Visibility;2019 Q2;113;13;128;3;40;null;OPEN
HY4mVMyagtX5docLAFmmWTYp;FireFly Computers;2019 Q2;529;15;608;4;83;null;OPEN
GbC1DppdK2RDnlBkLrRWfsvq;Union Home Mortgage;2019 Q2;679;-50;340;1;98;null;OPEN
eyfsFHb5FvHcefjtCv5BTsmm;Email Aptitude;2019 Q2;1229;-36;787;2;124;null;OPEN
rZYs1KjjFwqwhSzfG3oJK7Hu;White Bottle;2019 Q2;449;-46;242;2;6;null;OPEN
6MEMI6nZUQJNHaQnz0ItWTDW;Adore Me;2019 Q2;542;-48;282;2;72;null;OPEN
VaFAVdGsZTM72MAnRShMv7Th;Industrial Lighting Products;2019 Q2;357;-11;318;2;61;null;OPEN
wkwP6J27clGI5e9qLXplZQd2;Kucumber Skin Lounge;2019 Q2;835;15;960;4;75;null;OPEN
Qy1rIvSxK1lcjjgyESzJIWMu;S'well;2019 Q2;702;11;779;2;91;null;OPEN
4NoFCZba94a3ZBjPaA1m9J0v;Hi-Tech Builders;2019 Q2;379;-49;193;1;126;null;OPEN
ZiINL4m1yqGEM3WPcZxUqTDZ;Accellis Technology Group;2019 Q2;289;-38;179;1;98;null;OPEN
SIpLA55lciORGCOGRYyVbHlW;Sizemore & Company;2019 Q2;1163;-15;989;2;119;null;OPEN
ZM9XvrpkXvGHr1d79hRYrQkN;Lazy Palms Productions;2019 Q2;132;4;137;3;25;null;OPEN
XcFufSLstR5wPLGvqxrr6dg9;Delta Exteriors;2019 Q2;48;-46;26;1;113;null;OPEN
uMZNmmPSQZ8aQXwLobvDT59k;Staffpay;2019 Q2;545;-1;540;2;11;null;OPEN
w4iL2TEr6mHZLDdPwCnSjeBH;Green Key Resources;2019 Q2;718;-19;582;2;112;null;OPEN
mz2pZUfKqm5gWqRhoYVyCvOz;Remote Medical International;2019 Q2;437;1;441;2;96;null;OPEN
j4CEVhvDDWzJzcBnUx69DuQO;MODA LIGHT;2019 Q2;163;13;184;3;55;null;OPEN
uCetkc6G1MKr54epnOc2VJeX;STS International;2019 Q2;511;-50;256;1;41;null;OPEN
uxFu1KWn38AsCzwivENH2XDd;Global Facility Management & Construction;2019 Q2;285;-18;234;1;90;null;OPEN
kOveKWsjmHhsBgUq3Sff3AOi;John Pomp Studios;2019 Q2;23;12;26;4;63;null;OPEN
Ne2WEFcgNVj0LspNFfnwNgyC;Velocity Advisory Group;2019 Q2;582;-13;506;3;25;null;OPEN
5dPHAXaBwy89SPceYcVMgSko;Choozle;2019 Q2;1306;-5;1241;3;78;null;OPEN
x6M5Y8yqnxp2jl2eYxLPxCDi;CONSTRUCTION PROS OF NJ;2019 Q2;346;9;377;3;124;null;OPEN
Z4yO1u1O1u0pB621t48Rx9Lo;The Ticket Group;2019 Q2;429;5;450;2;53;null;OPEN
JDN4swK9APNANAm8FaIIWXTI;Lehigh Mining & Navigation;2019 Q2;223;-50;112;1;123;null;OPEN
S9UKs4zPhACoMVrTIBT4JXRz;Engage3;2019 Q2;988;-39;603;2;116;null;OPEN
AR3cLMfKc0ifhWQSe5qoo4C0;EXB Solutions;2019 Q2;325;2;332;3;91;null;OPEN
qDKHeDZsQDHkCPUkMeDQojAj;National Electronic Attachment;2019 Q2;153;2;156;3;61;null;OPEN
CKNMCtAMCUXoAEpFVkJXEUfq;Mars Services;2019 Q2;516;-41;304;2;79;null;OPEN
VhV5VHVrYkoxyjDSJPQEWl6l;Tri-County Mechanical;2019 Q2;674;8;728;2;53;null;OPEN
