OpportunityId;CompanyName;Quarter;TeoricalValue;VariationPerc;RealValue;QualificationLevel;TTC;Winner;Status
u1ijRxkNpMxiNXuKNBVb4AVA;Truelogic Software;2019 Q1;685;-4;658;2;34;null;OPEN
fZGqZ3x6I3Ic2GpdSHQ5QqEK;LiquidHub;2019 Q1;592;-47;314;2;91;null;OPEN
sPPIMvgJmqZDSjrs8GeXKsG9;American Eagle Protective Services;2019 Q1;1206;13;1363;4;74;null;OPEN
1L6aGThzxpwrB7GRn2SkwnkA;Sagent;2019 Q1;319;-26;236;2;85;null;OPEN
Z42O6NBTKqmVtHigAwk7alb6;Xtek Partners;2019 Q1;314;-42;182;2;19;null;OPEN
nC59TTiAwZctGL3phTc0Tq23;Productive Edge;2019 Q1;89;-32;61;2;52;null;OPEN
H1LQXSNDUkuOuKxEyCEmNJD3;Exygy;2019 Q1;439;15;505;4;66;null;OPEN
OpJcN5vBBEIwrvoSVsu2kA4f;BrandNex.com;2019 Q1;581;-17;482;2;26;null;OPEN
TPgSDYqB9UzUJwsB2b3HFRVs;Easy Media;2019 Q1;422;-50;211;1;103;null;OPEN
cWfI0eOR7nvXdZ8Diwnmv50N;Chesapeake Plumbing & Heating;2019 Q1;53;3;55;3;94;null;OPEN
0I2584cbM4CizgmG06ZnNnvf;VYRIAN;2019 Q1;67;-22;52;2;81;null;OPEN
m3Sy62SjqoMmCNyTXoAjX0xH;Archer;2019 Q1;148;-48;77;1;63;null;OPEN
VkhqQB7xKBOjjn4V8sJ1FgNu;Genomind;2019 Q1;10;-46;5;1;57;null;OPEN
JVdprRtRoVp46sB2yNzokKcG;Academy Mortgage;2019 Q1;1152;14;1313;4;90;null;OPEN
QBVL2efcGWEGiWVbZDizJ5C0;Primal Life Organics;2019 Q1;383;-49;195;1;46;null;OPEN
1LAA4yGLI6LCoADjIvi5AXWZ;CyraCom;2019 Q1;4;-5;4;2;70;null;OPEN
WXJytsynPHxhbhYzRrG22xYu;Ventech Solutions;2019 Q1;1040;15;1196;4;116;null;OPEN
9An3sH90WYtvtCJlgGKUEMpx;Core 3 Technologies;2019 Q1;131;6;139;2;9;null;OPEN
qOABhd8R33czGbLVeDWiP2MH;Dynamics Resources;2019 Q1;124;11;138;3;125;null;OPEN
hEAi90HywCY7pSIx4vOW1MMJ;Clickstop;2019 Q1;181;1;183;3;115;null;OPEN
TmbY3DbMORjoioficwZsP034;LOGICFORCE;2019 Q1;360;-40;216;2;50;null;OPEN
SqMpo4GEm2vQ7tbDL3BTFmSZ;Trilliant Surgical;2019 Q1;192;-49;98;1;75;null;OPEN
MyCQECPUjPjtrGNcbeFoignv;Diamond Hair Company;2019 Q1;748;1;755;2;108;null;OPEN
tieYC4UrSIBbrArv8ED8enLM;The Loken Group;2019 Q1;19;-4;18;3;104;null;OPEN
n4PWKbIYPJu4WceEP1qQ84k4;ArcSource Group;2019 Q1;519;6;550;3;19;null;OPEN
mLGxPmd5UXow0wZ0BNZnJQkb;ARGI Financial Group;2019 Q1;946;14;1078;4;66;null;OPEN
ObZHfgU744zQOPTR4EEUL23z;Sundance Behavioral Healthcare;2019 Q1;1166;11;1294;3;76;null;OPEN
cxtxJJdO1cxQh6vMrppd0deZ;SoapBox;2019 Q1;37;-16;31;2;55;null;OPEN
v73vO9y7MDY8Kq4Ldhcm3X6O;Be Better Advertising;2019 Q1;665;-26;492;1;111;null;OPEN
gXxqs3rGPrFth4hVgrFHWfNe;Kaufman Development;2019 Q1;85;15;98;4;43;null;OPEN
cL5aYdxGesYecfV4ddE4wODi;MM.LaFleur;2019 Q1;172;-1;170;3;16;null;OPEN
nQ3EEaem8q8gCHO30dKYlQdH;Mabbly;2019 Q1;694;2;708;2;12;null;OPEN
Mxz5HxPQPgEM6Rp6WnOZtA2O;Harbinger;2019 Q1;535;-50;268;1;108;null;OPEN
9eF9zC6VgG4gJR9169P7TfpD;Flagger Force Traffic Control Services;2019 Q1;988;-11;879;2;23;null;OPEN
J00gILOzu7cMmtuIWsxZ4QY4;Kinnser Software;2019 Q1;962;-21;760;2;45;null;OPEN
XyPcuL6rEKm3VI8sU6nXogGd;4BBCorp;2019 Q1;526;-22;410;2;33;null;OPEN
jyMglXCcOWgA39o3gKGJpxfq;Tribridge;2019 Q1;670;4;697;3;28;null;OPEN
07jzfJ0bg72VzPAN0iyWu71u;IMAGE Skincare International;2019 Q1;150;-27;110;1;133;null;OPEN
54WpB1e0x7vi7kSBk8ZsURgA;Peepers by PeeperSpecs;2019 Q1;380;14;433;4;46;null;OPEN
tjdsQ7FOSgZZ7gv6oJ1KDMXS;Her Hair Company;2019 Q1;182;7;195;3;134;null;OPEN
K0KAHUz7TX9mZGwWRJuLWbIa;Animal Necessity;2019 Q1;73;12;82;3;135;null;OPEN
F0IS1XAlydMGqtQVm2P9Ebhh;Vigilant Global Trade Services;2019 Q1;591;15;680;4;56;null;OPEN
FHM2Dph8QHJ5BZGW1xhGg8W7;Cognitive Medical Systems;2019 Q1;630;-26;466;2;55;null;OPEN
xByhznOu9yELwGQSlyxHyQ59;Isos Technology;2019 Q1;410;-6;385;1;43;null;OPEN
kxrgBuw6RJREqDtla68QYplw;TEKConn Services;2019 Q1;581;-2;569;2;85;null;OPEN
XhUHjXiTsjJINBqG43BshJ2s;Alpha Imaging;2019 Q1;889;-50;445;1;114;null;OPEN
ZHHNTFWTpsjToOWxpLfBsiF9;Intellectual Capitol;2019 Q1;1071;-45;589;2;107;null;OPEN
LWNqrfHHkr7fUbPL67ctvj4z;TextNow;2019 Q1;369;13;417;4;9;null;OPEN
B0tXQfbEA3TPPZchVieXEN4g;The Ask Method Company;2019 Q1;808;-3;784;3;10;null;OPEN
BoIOrBLSt8mqFL44QuYgnzop;Group Benefit Services;2019 Q1;8;15;9;4;129;null;OPEN
iQmj4QOcLv61WwPwxM8K9Ia2;Just Right Cleaning and Construction;2019 Q1;389;-30;272;2;99;null;OPEN
DL3PCkDXBnVj2gnGkCyocBYw;SuiteHop;2019 Q1;187;13;211;3;129;null;OPEN
blRYZDBLzhCbv9YpapjsPioC;Darren James Real Estate Experts;2019 Q1;446;-29;317;2;85;null;OPEN
X64bL0mbWjcVgLucU74ObfeC;Enhanced Veterans Solutions;2019 Q1;1343;10;1477;3;36;null;OPEN
bpGpC4xWh7c8hn29XtiUp0wn;Crown Laboratories;2019 Q1;132;-49;67;1;34;null;OPEN
tvmcvzuhMkVrx8PSQXPZ3j1Q;Roofers Supply;2019 Q1;182;-43;104;1;107;null;OPEN
nsdtubIeW5egXkuphJXuOt4D;QASymphony;2019 Q1;453;-45;249;1;84;null;OPEN
1DC4UJ4ia8mTvf0iBGlWO5ub;Grote Automotive;2019 Q1;407;-17;338;2;102;null;OPEN
hkOq7fGwIFBabuuqdSGRiGUZ;Remarkable Liquids;2019 Q1;294;-41;173;2;56;null;OPEN
LugrbRiaXFWM3g8w4sam8OSa;Lighting Unlimited;2019 Q1;597;-11;531;3;81;null;OPEN
pxlvH4UMAiK2hTisngDq8vMu;FlexProfessionals;2019 Q1;217;-48;113;2;110;null;OPEN
c5pVBSEuawLD9L3cyqHG55Jy;Foot Cardigan;2019 Q1;141;-31;97;2;16;null;OPEN
OoxkMdIGUE7efmT3NHrsbV0I;Convoy Technologies;2019 Q1;439;-49;224;2;89;null;OPEN
C6xsaXgpBvc5S8UKghIqUTzW;NeonCRM;2019 Q1;177;-50;89;1;16;null;OPEN
I06LhJs1d9CTm6dQD2fwncB8;Orangetheory Fitness;2019 Q1;304;-33;204;2;26;null;OPEN
82CzYpWkXScv7CJ9KMqT6wmi;zprepay;2019 Q1;1024;-28;737;1;104;null;OPEN
4S7QCk6U9f2XyUasU3LFj2KI;SkyWater Search Partners;2019 Q1;539;-47;286;1;89;null;OPEN
vj6es9pcY7yIIV4zD58pfPJp;PeopleTec;2019 Q1;702;-19;569;1;9;null;OPEN
tIdjDN8rVqPcNQ1qYWVsK3W0;Keyser Ventures;2019 Q1;819;-45;450;2;91;null;OPEN
MPUDoHO90d6uENmHiPM46ZbF;eSUB Construction Software;2019 Q1;298;-39;182;2;68;null;OPEN
HZ6AhGhPDNbpTZNwW6lpfnM1;Servesys;2019 Q1;874;12;979;3;42;null;OPEN
5Ph26Dq4qZOfSlltksrjFmKz;ControlSoft;2019 Q1;664;14;757;4;98;null;OPEN
GZATqEhHtAQpTIMHjHncHZ8q;Applied Thought;2019 Q1;931;3;959;3;24;null;OPEN
uSBDXXBAYSFb2hg6qcMTXqKu;ADAPTURE;2019 Q1;908;-34;599;1;115;null;OPEN
ykRhhRZPkAAgqMBoRDIib84N;Sun Solar;2019 Q1;309;0;309;2;45;null;OPEN
jbguycGEpr0nReGt2IqUtRQJ;MacroPoint;2019 Q1;734;6;778;3;29;null;OPEN
MBX80dDlJ7wdeeLPB80IO8sp;Studio III Marketing;2019 Q1;421;-42;244;1;11;null;OPEN
azU3slIfeDehVlvHyGrEeLmG;Chef's Cut Real Jerky;2019 Q1;785;-21;620;3;114;null;OPEN
e5XxnnmvulrgtvguPwAEw8pE;McGill Restoration;2019 Q1;158;14;180;4;32;null;OPEN
HU4btSwLjsru8ZWKcPlj3l3B;Jane.com;2019 Q1;717;-19;581;2;44;null;OPEN
x9BodoaCGIH37lguqN0K9WUJ;DYNALABS;2019 Q1;1078;-22;841;1;82;null;OPEN
fCVOAKSzh1NwrPD72Jekz5Z2;PriceSpider;2019 Q1;829;1;837;3;73;null;OPEN
bHLp6gEqL4C0IQKkkRZz7QBO;WMK;2019 Q1;339;-41;200;2;87;null;OPEN
wj1j37iaZ96YCAh6BzScJuxQ;Linium;2019 Q1;1138;1;1149;3;22;null;OPEN
cN2Gac7cuu0rpvZOPEYauPni;Blueprint Consulting Services;2019 Q1;627;-30;439;2;21;null;OPEN
nyxYdxmKqLXm26MgeWuSzqf9;Sterling Staffing Solutions;2019 Q1;143;15;164;4;105;null;OPEN
XGn0BZScNexkzb0OLAGX5hvx;Genomind;2019 Q1;8;-50;4;1;107;null;OPEN
f5LHUTk2aUKGIfaH7cVC7uds;eAssist Dental Solutions;2019 Q1;505;15;581;3;58;null;OPEN
mTQfpTyxguMwup1abV0zR5E6;Budget Dumpster;2019 Q1;705;-50;353;1;70;null;OPEN
ofxrvHF0ZDTU4z7oPFvA4doa;MRL Promotions;2019 Q1;243;-39;148;2;43;null;OPEN
4nvrKbuMtWm5cl0bhMNWY8ld;123Stores;2019 Q1;519;-12;457;2;98;null;OPEN
NeOKcoYHtaTM1bCF20mTneXS;Inspira Marketing;2019 Q1;276;15;317;4;116;null;OPEN
4jg0e1WW9oBuV5MDCRUtoecH;Qubole;2019 Q1;538;-12;473;2;99;null;OPEN
I7DECtRxFb9PwpOKQHYphH7U;Phunware;2019 Q1;123;-14;106;2;92;null;OPEN
yBNVW4Eba7KsBHSumYhNadkw;PeachCap;2019 Q1;90;-47;48;1;68;null;OPEN
gERYhcE5XvrXkhQG7iPG5x2B;NuevaCare;2019 Q1;288;0;NaN;5;90;null;OPEN
z4jRaf6MhyAuB4LiJZ3URTsF;Chartis Federal;2019 Q1;700;-37;441;2;130;null;OPEN
DUXOyfGbwub2hq3KXnI2HjMU;Dynamis;2019 Q1;58;-13;50;2;131;null;OPEN
vNOhsg4khjEJBdTslpFb0LDs;Phipps Reporting;2019 Q1;260;15;299;4;50;null;OPEN
STxWsKCmyUXy4fx7xinOdxim;Puredot;2019 Q1;69;14;79;3;42;null;OPEN
U428DA6ezgercjlsqxXE0Eu0;Avadim Technologies;2019 Q1;526;14;600;3;30;null;OPEN
rtaZxOuOAGPuBm2lpKrjNbzw;Listrak;2019 Q1;714;15;821;4;118;null;OPEN
BCTC7MpSXOPUwl6jR4205HoT;Duet Design Group;2019 Q1;995;-36;637;2;134;null;OPEN
Qi3xFCh87xaAX3UT1XViaiDy;SmarterChaos.com;2019 Q1;589;7;630;3;16;null;OPEN
dwdaIAEUIrPwyRvbJwHZHfxN;STACK Construction Technologies;2019 Q1;90;-44;50;2;54;null;OPEN
LjovKefSOHe5VRj3GfCbOxop;Lightwell;2019 Q1;544;14;620;4;40;null;OPEN
WkSacNBfm0HkS44uTzxq9CS9;IT Direct;2019 Q1;546;7;584;2;132;null;OPEN
FbUgrwZtIcM6r0Aq7YKCMHo2;BluLink;2019 Q1;659;-50;330;1;51;null;OPEN
OmrHVSRKlQ0fMVPOodo8AQtm;Tachyon Technologies;2019 Q1;431;14;491;4;44;null;OPEN
skg1lqSCyaPaWGDa28GKGFET;Ian, Evan & Alexander;2019 Q1;257;14;293;4;36;null;OPEN
sJPmJHe9R8ycMujmP4DwZ0Tu;OfficeZilla;2019 Q1;1036;-45;570;1;69;null;OPEN
ZEuKisgk9bjt6lmk9Ct9pghD;Andes Global Trading;2019 Q1;224;-33;150;2;60;null;OPEN
R5Xq2YlCW8xM9q2OxDSjDqBU;Busch Global;2019 Q1;20;-3;19;3;35;null;OPEN
WjyUPaCG7i0mCCF4VJq9DZxm;Medix;2019 Q1;683;15;785;4;13;null;OPEN
lU4Zb3dMu5flqztbDO39xdNd;Auto Loan Options;2019 Q1;848;-43;483;1;25;null;OPEN
4rQhLWplNFUa4h03nXFcsyeB;Paint Nite;2019 Q1;33;14;38;2;107;null;OPEN
mcr4tlQlFHHZtL7g02Ev3mTT;Pierry;2019 Q1;474;-23;365;1;22;null;OPEN
mUqPwBIH6wHfB3sA2MVHswOg;Solar Art Window Film & Graphics;2019 Q1;1028;-18;843;2;13;null;OPEN
BpdwdTT1dHUMQC8hjtcrz7RC;Radiance Medspa;2019 Q1;79;-50;40;1;108;null;OPEN
VfeFIoyqpHYk9t0WDfq1Frgq;Onset Financial;2019 Q1;802;-35;521;2;128;null;OPEN
BlxHhWoZ2d0rhPeP3cOIJLZT;Berry Law Firm;2019 Q1;991;14;1130;4;13;null;OPEN
dINCwKUOxmr3SfprQ3NlTJJ6;Summus Group;2019 Q1;867;-1;858;2;43;null;OPEN
jVfoX3KejU1GQ7WHFXyq3PX5;Trinity Real Estate Solutions;2019 Q1;28;-39;17;1;21;null;OPEN
aaLGJUORNFDJzXOK3FvoIji6;The Janz;2019 Q1;206;-17;171;2;24;null;OPEN
